WR,N,LO_crosssection,LO_scale,LO_pdf,NLO_crosssection,NLO_scale,NLO_pdf
1000,100,0,,,,,
1000,200,0.0014105070000001616,+3.96% / -3.71%,+2.6% / -2.6%,,,
1000,300,0.23219630000004107,+3.98% / -3.73%,+2.6% / -2.6%,,,
1000,400,0.5997789999998824,+4.01% / -3.75%,+2.58% / -2.58%,,,
1000,500,0.7736750000002361,+4.04% / -3.78%,+2.65% / -2.65%,,,
1000,600,0.7458440000001707,+4.06% / -3.8%,+2.66% / -2.66%,,,
1000,700,0.5841471000000865,+4.08% / -3.82%,+2.64% / -2.64%,,,
1000,800,0.34686500000009257,+4.12% / -3.85%,+2.62% / -2.62%,,,
1000,900,0.12035978199993987,+4.24% / -3.94%,+2.73% / -2.73%,,,
1500,100,0,,,,,
1500,200,0.00024600479999990527,+6.11% / -5.48%,+3.23% / -3.23%,,,
1500,300,0.04195449999999027,+6.17% / -5.53%,+3.21% / -3.21%,,,
1500,400,0.11610140000004952,+6.21% / -5.56%,+3.22% / -3.22%,,,
1500,500,0.1655238999999678,+6.23% / -5.58%,+3.27% / -3.27%,,,
1500,600,0.18824879999993893,+6.28% / -5.62%,+3.23% / -3.23%,,,
1500,700,0.1904104000000071,+6.28% / -5.62%,+3.24% / -3.24%,,,
1500,800,0.17888690000004598,+6.3% / -5.63%,+3.23% / -3.23%,,,
1500,900,0.15898189999995951,+6.33% / -5.66%,+3.22% / -3.22%,,,
1500,1000,0.130431800000037,+6.34% / -5.67%,+3.35% / -3.35%,,,
1500,1100,0.09830739999996271,+6.36% / -5.68%,+3.24% / -3.24%,,,
1500,1200,0.06503990000000524,+6.39%  / -5.71%,+3.23% / -3.23%,,,
1500,1300,0.034274759999988434,+6.42% / -5.74%,+3.29% / -3.29%,,,
1500,1400,0.011409215000003428,+6.6% / -5.88%,+3.61% / -3.61%,,,
2000,100,0,,,,,
2000,200,5.954070000001797e-05,+7.68% / -6.76%,+3.98% / -3.98%,,,
2000,300,0.010346300000002851,+7.78% / -6.85%,+4.15% / -4.15%,,,
2000,400,0.028908100000012316,+7.84% / -6.9%,+4.03% / -4.03%,,,
2000,500,0.042436499999993424,+7.86% / -6.91%,+4.14% / -4.14%,,,
2000,600,0.04997409999999086,+7.9% / -6.95%,+4.09% / -4.09%,,,
2000,700,0.05349710000001667,+7.93% / -6.97%,+4.26% / -4.26%,,,
2000,800,0.05392339999997343,+7.94% / -6.98%,+4.18% / -4.18%,,,
2000,900,0.052324600000010435,+7.98% / -7.01%,+4.12% / -4.12%,,,
2000,1000,0.04941832000001423,+7.98% / -7.02%,+4.15% / -4.15%,,,
2000,1100,0.045480290000002456,+8.01% / -7.04%,+4.28% / -4.28%,,,
2000,1200,0.04042706000000123,+8.01% / -7.04%,+4.29% / -4.29%,,,
2000,1300,0.03468988999999553,+8.02% / -7.05%,+4.28% / -4.28%,,,
2000,1400,0.028514309999992563,+8.04% / -7.07%,+4.03% / -4.03%,,,
2000,1500,0.022084750000007123,+8.05% / -7.07%,+4.48% / -4.48%,,,
2000,1600,0.015796509999993335,+8.1% / -7.11%,+4.3% / -4.3%,,,
2000,1700,0.00996576000000468,+8.11% / -7.12%,+4.52% / -4.52%,,,
2000,1800,0.00511099860000228,+8.17% / -7.17%,+4.58% / -4.58%,,,
2000,1900,0.0017509324000006892,+8.35% / -7.31%,+4.99% / -4.99%,,,
2500,100,0,,,,,
2500,200,1.7183600000000243e-05,+8.86% / -7.7%,+6.13% / -6.13%,,,
2500,300,0.0029724100000008092,,+6.34% / -6.34%,,,
2500,400,0.008408770000001653,+9.09% / -7.89%,+6.29% / -6.29%,,,
2500,500,0.012408619999996191,+9.16% / -7.95%,+6.75% / -6.75%,,,
2500,600,0.014854590000001751,,+6.09% / -6.09%,,,
2500,700,0.016137500000003278,+9.24% / -8.01%,+6.73% / -6.73%,,,
2500,800,0.016662769999999598,+9.27% / -8.04%,+6.79% / -6.79%,,,
2500,900,0.016728250000000434,+9.29% / -8.06%,+7.1% / -7.1%,,,
2500,1000,0.016398549999997004,+9.34% / -8.09%,+6.77% / -6.77%,,,
