WR,N,CrossSection
1000,200,0.001402
1000,300,0.232
1000,400,0.5929
1000,500,0.7724
1000,600,0.7467
1000,700,0.586
1000,800,0.3461
1000,900,0.1191
1500,200,0.0002475
1500,300,0.04158
1500,400,0.1158
1500,500,0.1636
1500,600,0.1867
1500,700,0.1912
1500,800,0.1783
1500,900,0.1587
1500,1000,0.1312
1500,1100,0.0976
1500,1200,0.06476
1500,1300,0.0338
1500,1400,0.01131
2000,200,5.949e-05
2000,300,0.01031
2000,400,0.02903
2000,500,0.0419
2000,600,0.04992
2000,700,0.05362
2000,800,0.05448
2000,900,0.05334
2000,1000,0.04958
2000,1100,0.04472
2000,1200,0.04069
2000,1300,0.0347
2000,1400,0.02849
2000,1500,0.02183
2000,1600,0.0157
2000,1700,0.009879
2000,1800,0.005111
2000,1900,0.001768
2500,200,1.692e-05
2500,300,0.002972
2500,400,0.008523
2500,500,0.01233
2500,600,0.01473
2500,700,0.01616
2500,800,0.01664
2500,900,0.0169
2500,1000,0.01648
2500,1100,0.016
2500,1200,0.01495
2500,1300,0.01396
2500,1400,0.01294
2500,1500,0.01154
2500,1600,0.01033
2500,1700,0.008757
2500,1800,0.007279
2500,1900,0.005863
2500,2000,0.004402
2500,2100,0.003074
2500,2200,0.001909
2500,2300,0.0009803
2500,2400,0.0003451
3000,200,5.591e-06
3000,300,0.0009523
3000,400,0.002692
3000,500,0.004002
3000,600,0.004751
3000,700,0.005198
3000,800,0.005429
3000,900,0.005615
3000,1000,0.005547
3000,1100,0.005451
3000,1200,0.005324
3000,1300,0.0051
3000,1400,0.004891
3000,1500,0.004578
3000,1600,0.004258
3000,1700,0.003946
3000,1800,0.003605
3000,1900,0.003205
3000,2000,0.00283
3000,2100,0.002458
3000,2200,0.002079
3000,2300,0.001724
3000,2400,0.00133
3000,2500,0.001008
3000,2600,0.000687
3000,2700,0.0004223
3000,2800,0.0002158
3000,2900,8.094e-05
3500,200,1.999e-06
3500,300,0.0003395
3500,400,0.000953
3500,500,0.001407
3500,600,0.001687
3500,700,0.001818
3500,800,0.001897
3500,900,0.001948
3500,1000,0.00196
3500,1100,0.00196
3500,1200,0.001913
3500,1300,0.001867
3500,1400,0.001812
3500,1500,0.00173
3500,1600,0.001661
3500,1700,0.001567
3500,1800,0.001482
3500,1900,0.001395
3500,2000,0.001302
3500,2100,0.001187
3500,2200,0.001061
3500,2300,0.0009697
3500,2400,0.0008551
3500,2500,0.0007571
3500,2600,0.0006484
3500,2700,0.0005309
3500,2800,0.0004363
3500,2900,0.0003419
3500,3000,0.0002521
3500,3100,0.0001726
3500,3200,0.0001047
3500,3300,5.489e-05
3500,3400,2.158e-05
4000,200,7.96e-07
4000,300,0.0001332
4000,400,0.0003713
4000,500,0.0005448
4000,600,0.0006425
4000,700,0.0007023
4000,800,0.0007342
4000,900,0.0007412
4000,1000,0.0007481
4000,1100,0.0007425
4000,1200,0.0007305
4000,1300,0.0007213
4000,1400,0.0006986
4000,1500,0.0006803
4000,1600,0.0006569
4000,1700,0.0006303
4000,1800,0.0006122
4000,1900,0.0005801
4000,2000,0.0005569
4000,2100,0.0005263
4000,2200,0.0004896
4000,2300,0.0004586
4000,2400,0.0004253
4000,2500,0.0003865
4000,2600,0.0003518
4000,2700,0.0003208
4000,2800,0.0002878
4000,2900,0.0002541
4000,3000,0.000218
4000,3100,0.0001853
4000,3200,0.0001536
4000,3300,0.0001241
4000,3400,9.588e-05
4000,3500,6.998e-05
4000,3600,4.749e-05
4000,3700,2.986e-05
4000,3800,1.528e-05
4000,3900,6.497e-06
4500,200,3.618e-07
4500,300,5.934e-05
4500,400,0.0001645
4500,500,0.0002349
4500,600,0.0002786
4500,700,0.0002982
4500,800,0.0003061
4500,900,0.0003144
4500,1000,0.0003165
4500,1100,0.0003114
4500,1200,0.000305
4500,1300,0.000302
4500,1400,0.0002962
4500,1500,0.0002905
4500,1600,0.0002795
4500,1700,0.0002727
4500,1800,0.0002661
4500,1900,0.0002524
4500,2000,0.0002424
4500,2100,0.0002331
4500,2200,0.0002226
4500,2300,0.0002129
4500,2400,0.0002008
4500,2500,0.0001897
4500,2600,0.00018
4500,2700,0.0001665
4500,2800,0.0001528
4500,2900,0.0001422
4500,3000,0.0001297
4500,3100,0.0001192
4500,3200,0.0001061
4500,3300,9.465e-05
4500,3400,8.232e-05
4500,3500,7.136e-05
4500,3600,5.977e-05
4500,3700,4.968e-05
4500,3800,3.962e-05
4500,3900,3.075e-05
4500,4000,2.206e-05
4500,4100,1.513e-05
4500,4200,9.368e-06
4500,4300,5.078e-06
4500,4400,2.261e-06
5000,200,1.856e-07
5000,300,3.013e-05
5000,400,8.239e-05
5000,500,0.0001174
5000,600,0.0001362
5000,700,0.0001441
5000,800,0.0001484
5000,900,0.000148
5000,1000,0.0001477
5000,1100,0.0001456
5000,1200,0.0001452
5000,1300,0.0001406
5000,1400,0.0001365
5000,1500,0.0001345
5000,1600,0.0001317
5000,1700,0.0001278
5000,1800,0.0001232
5000,1900,0.0001189
5000,2000,0.0001154
5000,2100,0.0001112
5000,2200,0.000107
5000,2300,0.0001035
5000,2400,9.883e-05
5000,2500,9.505e-05
5000,2600,9.112e-05
5000,2700,8.681e-05
5000,2800,8.17e-05
5000,2900,7.577e-05
5000,3000,7.138e-05
5000,3100,6.645e-05
5000,3200,6.218e-05
5000,3300,5.807e-05
5000,3400,5.344e-05
5000,3500,4.851e-05
5000,3600,4.407e-05
5000,3700,3.951e-05
5000,3800,3.487e-05
5000,3900,3.015e-05
5000,4000,2.561e-05
5000,4100,2.195e-05
5000,4200,1.82e-05
5000,4300,1.449e-05
5000,4400,1.103e-05
5000,4500,7.952e-06
5000,4600,5.492e-06
5000,4700,3.436e-06
5000,4800,1.866e-06
5000,4900,9.03e-07
5500,200,1.052e-07
5500,300,1.698e-05
5500,400,4.554e-05
5500,500,6.357e-05
5500,600,7.303e-05
5500,700,7.721e-05
5500,800,7.824e-05
5500,900,7.782e-05
5500,1000,7.684e-05
5500,1100,7.487e-05
5500,1200,7.323e-05
5500,1300,7.272e-05
5500,1400,7.014e-05
5500,1500,6.735e-05
5500,1600,6.61e-05
5500,1700,6.406e-05
5500,1800,6.335e-05
5500,1900,6.096e-05
5500,2000,5.928e-05
5500,2100,5.745e-05
5500,2200,5.575e-05
5500,2300,5.357e-05
5500,2400,5.207e-05
5500,2500,5.028e-05
5500,2600,4.861e-05
5500,2700,4.635e-05
5500,2800,4.447e-05
5500,2900,4.282e-05
5500,3000,4.073e-05
5500,3100,3.886e-05
5500,3200,3.605e-05
5500,3300,3.418e-05
5500,3400,3.272e-05
5500,3500,3.035e-05
5500,3600,2.846e-05
5500,3700,2.639e-05
5500,3800,2.427e-05
5500,3900,2.239e-05
5500,4000,2.028e-05
5500,4100,1.845e-05
5500,4200,1.62e-05
5500,4300,1.427e-05
5500,4400,1.239e-05
5500,4500,1.074e-05
5500,4600,8.894e-06
5500,4700,7.296e-06
5500,4800,5.852e-06
5500,4900,4.489e-06
5500,5000,3.255e-06
5500,5100,2.249e-06
5500,5200,1.407e-06
5500,5300,7.986e-07
5500,5400,3.863e-07
6000,200,6.44e-08
6000,300,1.025e-05
6000,400,2.553e-05
6000,500,3.722e-05
6000,600,4.199e-05
6000,700,4.416e-05
6000,800,4.405e-05
6000,900,4.354e-05
6000,1000,4.234e-05
6000,1100,4.125e-05
6000,1200,3.995e-05
6000,1300,3.904e-05
6000,1400,3.774e-05
6000,1500,3.669e-05
6000,1600,3.553e-05
6000,1700,3.468e-05
6000,1800,3.387e-05
6000,1900,3.296e-05
6000,2000,3.174e-05
6000,2100,3.073e-05
6000,2200,3e-05
6000,2300,2.918e-05
6000,2400,2.811e-05
6000,2500,2.74e-05
6000,2600,2.65e-05
6000,2700,2.545e-05
6000,2800,2.469e-05
6000,2900,2.386e-05
6000,3000,2.317e-05
6000,3100,2.191e-05
6000,3200,2.13e-05
6000,3300,2.034e-05
6000,3400,1.911e-05
6000,3500,1.812e-05
6000,3600,1.713e-05
6000,3700,1.645e-05
6000,3800,1.547e-05
6000,3900,1.47e-05
6000,4000,1.362e-05
6000,4100,1.275e-05
6000,4200,1.178e-05
6000,4300,1.095e-05
6000,4400,9.796e-06
6000,4500,8.924e-06
6000,4600,7.85e-06
6000,4700,7.103e-06
6000,4800,6.229e-06
6000,4900,5.363e-06
6000,5000,4.653e-06
6000,5100,3.877e-06
6000,5200,3.162e-06
6000,5300,2.517e-06
6000,5400,1.923e-06
6000,5500,1.4e-06
6000,5600,9.691e-07
6000,5700,6.059e-07
6000,5800,3.416e-07
6000,5900,1.735e-07
6500,200,4.166e-08
6500,300,6.462e-06
6500,400,1.665e-05
6500,500,2.29e-05
6500,600,2.551e-05
6500,700,2.744e-05
6500,800,2.6e-05
6500,900,2.542e-05
6500,1000,2.453e-05
6500,1100,2.353e-05
6500,1200,2.25e-05
6500,1300,2.165e-05
6500,1400,2.119e-05
6500,1500,2.042e-05
6500,1600,1.958e-05
6500,1700,1.901e-05
6500,1800,1.848e-05
6500,1900,1.782e-05
6500,2000,1.746e-05
6500,2100,1.676e-05
6500,2200,1.628e-05
6500,2300,1.604e-05
6500,2400,1.557e-05
6500,2500,1.498e-05
6500,2600,1.439e-05
6500,2700,1.403e-05
6500,2800,1.368e-05
6500,2900,1.324e-05
6500,3000,1.285e-05
6500,3100,1.24e-05
6500,3200,1.193e-05
6500,3300,1.15e-05
6500,3400,1.116e-05
6500,3500,1.071e-05
6500,3600,9.981e-06
6500,3700,9.599e-06
6500,3800,9.138e-06
6500,3900,8.827e-06
6500,4000,8.422e-06
6500,4100,7.905e-06
6500,4200,7.47e-06
6500,4300,7.12e-06
6500,4400,6.584e-06
6500,4500,6.14e-06
6500,4600,5.701e-06
6500,4700,5.336e-06
6500,4800,4.8e-06
6500,4900,4.377e-06
6500,5000,3.959e-06
6500,5100,3.521e-06
6500,5200,3.169e-06
6500,5300,2.764e-06
