LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../../../submit_files/condorfiles/LO999/result_WR1000_N100/WRtoNLtoLLJJ_WR1000_N100.log,3.612,0.05243,../../submit_files/condorfiles/NLO999/result_WR1000_N100_NLO/WRtoNLtoLLJJ_WR1000_N100_NLO.log,4.343,0.0038,1.2023809523809523
../../../submit_files/condorfiles/LO999/result_WR1000_N200/WRtoNLtoLLJJ_WR1000_N200.log,3.509,0.04951,../../submit_files/condorfiles/NLO999/result_WR1000_N200_NLO/WRtoNLtoLLJJ_WR1000_N200_NLO.log,4.135,0.0041,1.1783984041037332
../../../submit_files/condorfiles/LO999/result_WR1000_N300/WRtoNLtoLLJJ_WR1000_N300.log,3.206,0.02867,../../submit_files/condorfiles/NLO999/result_WR1000_N300_NLO/WRtoNLtoLLJJ_WR1000_N300_NLO.log,3.806,0.0036,1.1871490954460386
../../../submit_files/condorfiles/LO999/result_WR1000_N400/WRtoNLtoLLJJ_WR1000_N400.log,2.804,0.03602,../../submit_files/condorfiles/NLO999/result_WR1000_N400_NLO/WRtoNLtoLLJJ_WR1000_N400_NLO.log,3.358,0.0029,1.1975748930099859
../../../submit_files/condorfiles/LO999/result_WR1000_N500/WRtoNLtoLLJJ_WR1000_N500.log,2.324,0.01882,../../submit_files/condorfiles/NLO999/result_WR1000_N500_NLO/WRtoNLtoLLJJ_WR1000_N500_NLO.log,2.805,0.0023,1.2069707401032703
../../../submit_files/condorfiles/LO999/result_WR1000_N600/WRtoNLtoLLJJ_WR1000_N600.log,1.808,0.02075,../../submit_files/condorfiles/NLO999/result_WR1000_N600_NLO/WRtoNLtoLLJJ_WR1000_N600_NLO.log,2.162,0.0017,1.195796460176991
../../../submit_files/condorfiles/LO999/result_WR1000_N700/WRtoNLtoLLJJ_WR1000_N700.log,1.214,0.008515,../../submit_files/condorfiles/NLO999/result_WR1000_N700_NLO/WRtoNLtoLLJJ_WR1000_N700_NLO.log,1.465,0.0012,1.2067545304777596
../../../submit_files/condorfiles/LO999/result_WR1000_N800/WRtoNLtoLLJJ_WR1000_N800.log,0.659,0.005733,../../submit_files/condorfiles/NLO999/result_WR1000_N800_NLO/WRtoNLtoLLJJ_WR1000_N800_NLO.log,0.7903,0.00066,1.1992412746585734
../../../submit_files/condorfiles/LO999/result_WR1000_N900/WRtoNLtoLLJJ_WR1000_N900.log,0.213,0.002207,../../submit_files/condorfiles/NLO999/result_WR1000_N900_NLO/WRtoNLtoLLJJ_WR1000_N900_NLO.log,0.2554,0.00022,1.1990610328638498
../../../submit_files/condorfiles/LO999/result_WR1500_N100/WRtoNLtoLLJJ_WR1500_N100.log,0.6409,0.01025,../../submit_files/condorfiles/NLO999/result_WR1500_N100_NLO/WRtoNLtoLLJJ_WR1500_N100_NLO.log,0.7748,0.00071,1.208924949290061
../../../submit_files/condorfiles/LO999/result_WR1500_N200/WRtoNLtoLLJJ_WR1500_N200.log,0.625,0.009401,../../submit_files/condorfiles/NLO999/result_WR1500_N200_NLO/WRtoNLtoLLJJ_WR1500_N200_NLO.log,0.7548,0.0008,1.20768
../../../submit_files/condorfiles/LO999/result_WR1500_N300/WRtoNLtoLLJJ_WR1500_N300.log,0.6021,0.008809,../../submit_files/condorfiles/NLO999/result_WR1500_N300_NLO/WRtoNLtoLLJJ_WR1500_N300_NLO.log,0.7265,0.0007,1.206610197641588
../../../submit_files/condorfiles/LO999/result_WR1500_N400/WRtoNLtoLLJJ_WR1500_N400.log,0.5676,0.007994,../../submit_files/condorfiles/NLO999/result_WR1500_N400_NLO/WRtoNLtoLLJJ_WR1500_N400_NLO.log,0.6889,0.00061,1.213706835799859
../../../submit_files/condorfiles/LO999/result_WR1500_N500/WRtoNLtoLLJJ_WR1500_N500.log,0.5167,0.004562,../../submit_files/condorfiles/NLO999/result_WR1500_N500_NLO/WRtoNLtoLLJJ_WR1500_N500_NLO.log,0.642,0.00058,1.2425004838397522
../../../submit_files/condorfiles/LO999/result_WR1500_N600/WRtoNLtoLLJJ_WR1500_N600.log,0.4815,0.006344,../../submit_files/condorfiles/NLO999/result_WR1500_N600_NLO/WRtoNLtoLLJJ_WR1500_N600_NLO.log,0.5872,0.0005,1.2195223260643824
../../../submit_files/condorfiles/LO999/result_WR1500_N700/WRtoNLtoLLJJ_WR1500_N700.log,0.4301,0.005455,../../submit_files/condorfiles/NLO999/result_WR1500_N700_NLO/WRtoNLtoLLJJ_WR1500_N700_NLO.log,0.5235,0.00043,1.2171588002790048
../../../submit_files/condorfiles/LO999/result_WR1500_N800/WRtoNLtoLLJJ_WR1500_N800.log,0.3624,0.002814,../../submit_files/condorfiles/NLO999/result_WR1500_N800_NLO/WRtoNLtoLLJJ_WR1500_N800_NLO.log,0.4527,0.00037,1.2491721854304636
../../../submit_files/condorfiles/LO999/result_WR1500_N900/WRtoNLtoLLJJ_WR1500_N900.log,0.3062,0.003545,../../submit_files/condorfiles/NLO999/result_WR1500_N900_NLO/WRtoNLtoLLJJ_WR1500_N900_NLO.log,0.3759,0.00033,1.2276290006531678
../../../submit_files/condorfiles/LO999/result_WR1500_N1000/WRtoNLtoLLJJ_WR1500_N1000.log,0.2377,0.001708,../../submit_files/condorfiles/NLO999/result_WR1500_N1000_NLO/WRtoNLtoLLJJ_WR1500_N1000_NLO.log,0.2949,0.00025,1.2406394615061
../../../submit_files/condorfiles/LO999/result_WR1500_N1100/WRtoNLtoLLJJ_WR1500_N1100.log,0.172,0.001193,../../submit_files/condorfiles/NLO999/result_WR1500_N1100_NLO/WRtoNLtoLLJJ_WR1500_N1100_NLO.log,0.2135,0.00018,1.2412790697674418
../../../submit_files/condorfiles/LO999/result_WR1500_N1200/WRtoNLtoLLJJ_WR1500_N1200.log,0.1099,0.0008079,../../submit_files/condorfiles/NLO999/result_WR1500_N1200_NLO/WRtoNLtoLLJJ_WR1500_N1200_NLO.log,0.1363,0.00011,1.240218380345769
../../../submit_files/condorfiles/LO999/result_WR1500_N1300/WRtoNLtoLLJJ_WR1500_N1300.log,0.05598,0.0005414,../../submit_files/condorfiles/NLO999/result_WR1500_N1300_NLO/WRtoNLtoLLJJ_WR1500_N1300_NLO.log,0.07002,5.9e-05,1.2508038585209003
../../../submit_files/condorfiles/LO999/result_WR1500_N1400/WRtoNLtoLLJJ_WR1500_N1400.log,0.01841,0.0001879,../../submit_files/condorfiles/NLO999/result_WR1500_N1400_NLO/WRtoNLtoLLJJ_WR1500_N1400_NLO.log,0.02286,2e-05,1.2417164584464964
../../../submit_files/condorfiles/LO999/result_WR2000_N100/WRtoNLtoLLJJ_WR2000_N100.log,0.1549,0.00165,../../submit_files/condorfiles/NLO999/result_WR2000_N100_NLO/WRtoNLtoLLJJ_WR2000_N100_NLO.log,0.1927,0.00017,1.2440284054228534
../../../submit_files/condorfiles/LO999/result_WR2000_N200/WRtoNLtoLLJJ_WR2000_N200.log,0.1511,0.002416,../../submit_files/condorfiles/NLO999/result_WR2000_N200_NLO/WRtoNLtoLLJJ_WR2000_N200_NLO.log,0.1888,0.00017,1.2495036399735273
../../../submit_files/condorfiles/LO999/result_WR2000_N300/WRtoNLtoLLJJ_WR2000_N300.log,0.1497,0.002318,../../submit_files/condorfiles/NLO999/result_WR2000_N300_NLO/WRtoNLtoLLJJ_WR2000_N300_NLO.log,0.1843,0.0002,1.231128924515698
../../../submit_files/condorfiles/LO999/result_WR2000_N400/WRtoNLtoLLJJ_WR2000_N400.log,0.1448,0.002246,../../submit_files/condorfiles/NLO999/result_WR2000_N400_NLO/WRtoNLtoLLJJ_WR2000_N400_NLO.log,0.1782,0.00017,1.2306629834254141
../../../submit_files/condorfiles/LO999/result_WR2000_N500/WRtoNLtoLLJJ_WR2000_N500.log,0.1386,0.002067,../../submit_files/condorfiles/NLO999/result_WR2000_N500_NLO/WRtoNLtoLLJJ_WR2000_N500_NLO.log,0.1711,0.00017,1.2344877344877345
../../../submit_files/condorfiles/LO999/result_WR2000_N600/WRtoNLtoLLJJ_WR2000_N600.log,0.1286,0.001327,../../submit_files/condorfiles/NLO999/result_WR2000_N600_NLO/WRtoNLtoLLJJ_WR2000_N600_NLO.log,0.1629,0.00015,1.2667185069984448
../../../submit_files/condorfiles/LO999/result_WR2000_N700/WRtoNLtoLLJJ_WR2000_N700.log,0.1195,0.001125,../../submit_files/condorfiles/NLO999/result_WR2000_N700_NLO/WRtoNLtoLLJJ_WR2000_N700_NLO.log,0.1537,0.00014,1.286192468619247
../../../submit_files/condorfiles/LO999/result_WR2000_N800/WRtoNLtoLLJJ_WR2000_N800.log,0.1139,0.001518,../../submit_files/condorfiles/NLO999/result_WR2000_N800_NLO/WRtoNLtoLLJJ_WR2000_N800_NLO.log,0.1432,0.00014,1.257243195785777
../../../submit_files/condorfiles/LO999/result_WR2000_N900/WRtoNLtoLLJJ_WR2000_N900.log,0.1046,0.001349,../../submit_files/condorfiles/NLO999/result_WR2000_N900_NLO/WRtoNLtoLLJJ_WR2000_N900_NLO.log,0.1316,0.00012,1.2581261950286806
../../../submit_files/condorfiles/LO999/result_WR2000_N1000/WRtoNLtoLLJJ_WR2000_N1000.log,0.09359,0.0008294,../../submit_files/condorfiles/NLO999/result_WR2000_N1000_NLO/WRtoNLtoLLJJ_WR2000_N1000_NLO.log,0.1188,0.00011,1.2693663852975745
../../../submit_files/condorfiles/LO999/result_WR2000_N1100/WRtoNLtoLLJJ_WR2000_N1100.log,0.08239,0.0007411,../../submit_files/condorfiles/NLO999/result_WR2000_N1100_NLO/WRtoNLtoLLJJ_WR2000_N1100_NLO.log,0.1053,8.8e-05,1.2780677266658576
../../../submit_files/condorfiles/LO999/result_WR2000_N1200/WRtoNLtoLLJJ_WR2000_N1200.log,0.07109,0.0008059,../../submit_files/condorfiles/NLO999/result_WR2000_N1200_NLO/WRtoNLtoLLJJ_WR2000_N1200_NLO.log,0.09106,7.8e-05,1.2809115206076804
../../../submit_files/condorfiles/LO999/result_WR2000_N1300/WRtoNLtoLLJJ_WR2000_N1300.log,0.05984,0.0007208,../../submit_files/condorfiles/NLO999/result_WR2000_N1300_NLO/WRtoNLtoLLJJ_WR2000_N1300_NLO.log,0.07625,6.7e-05,1.2742312834224598
../../../submit_files/condorfiles/LO999/result_WR2000_N1400/WRtoNLtoLLJJ_WR2000_N1400.log,0.04801,0.0003778,../../submit_files/condorfiles/NLO999/result_WR2000_N1400_NLO/WRtoNLtoLLJJ_WR2000_N1400_NLO.log,0.06133,5.6e-05,1.2774421995417622
../../../submit_files/condorfiles/LO999/result_WR2000_N1500/WRtoNLtoLLJJ_WR2000_N1500.log,0.03647,0.0002644,../../submit_files/condorfiles/NLO999/result_WR2000_N1500_NLO/WRtoNLtoLLJJ_WR2000_N1500_NLO.log,0.04662,4.3e-05,1.2783109404990403
