WR mass,N mass,K factor
1000,100,1.2023809523809523
1000,200,1.1783984041037332
1000,300,1.1871490954460386
1000,400,1.197574893009986
1000,500,1.2069707401032703
1000,600,1.195796460176991
1000,700,1.2067545304777596
1000,800,1.1992412746585734
1000,900,1.1990610328638498
1500,100,1.208924949290061
1500,200,1.20768
1500,300,1.206610197641588
1500,400,1.213706835799859
1500,500,1.2425004838397522
1500,600,1.2195223260643824
1500,700,1.2171588002790048
1500,800,1.2491721854304636
1500,900,1.2276290006531678
1500,1000,1.2406394615061
1500,1100,1.2412790697674418
1500,1200,1.240218380345769
1500,1300,1.2508038585209005
1500,1400,1.2417164584464964
2000,100,1.2440284054228534
2000,200,1.249503639973527
2000,300,1.231128924515698
2000,400,1.230662983425414
2000,500,1.2344877344877343
2000,600,1.2667185069984448
2000,700,1.286192468619247
2000,800,1.257243195785777
2000,900,1.2581261950286806
2000,1000,1.2693663852975745
2000,1100,1.2780677266658576
2000,1200,1.2809115206076804
2000,1300,1.2742312834224598
2000,1400,1.2774421995417622
2000,1500,1.2783109404990405
2000,1600,1.276736924277908
2000,1700,1.2839116719242902
2000,1800,1.2757252665509546
2000,1900,1.2958579881656809
2500,100,1.2547419497132777
2500,200,1.2864077669902911
2500,300,1.2513221430213843
2500,400,1.2549668874172186
2500,500,1.2627450980392156
2500,600,1.269857433808554
2500,700,1.2717391304347827
2500,800,1.292524682651622
2500,900,1.2705229330996204
2500,1000,1.296800760215394
2500,1100,1.2964092140921408
2500,1200,1.316220238095238
2500,1300,1.3149126371393742
2500,1400,1.3013392857142856
2500,1500,1.3100303951367782
2500,1600,1.3106060606060606
2500,1700,1.3028024606971975
2500,1800,1.3006644518272426
2500,1900,1.2916710210053295
2500,2000,1.3017776523702034
2500,2100,1.3002653602776078
2500,2200,1.311744966442953
2500,2300,1.3244147157190636
2500,2400,1.309634304807871
3000,100,1.2594339622641508
3000,200,1.32367849384504
3000,300,1.3102941176470588
3000,400,1.3092006033182504
3000,500,1.3125972006220838
3000,600,1.3188755020080325
3000,700,1.2872168284789645
3000,800,1.2970464135021098
3000,900,1.302550571679859
3000,1000,1.3129629629629629
3000,1100,1.3139534883720931
3000,1200,1.32590988761728
3000,1300,1.3226016967587555
3000,1400,1.3445675229790242
3000,1500,1.3391392149438344
3000,1600,1.3376161837069438
3000,1700,1.3267973856209152
3000,1800,1.3351002153387443
3000,1900,1.3344500279173646
3000,2000,1.3267159450897572
3000,2100,1.3294697903822443
3000,2200,1.3302860513122974
3000,2300,1.3336980306345734
3000,2400,1.3265020959478342
3000,2500,1.324716267339218
3000,2600,1.3241252302025783
3000,2700,1.3385670731707318
3000,2800,1.3312462731067385
3000,2900,1.326984126984127
3500,100,1.3255677368833203
3500,200,1.3272579991899556
3500,300,1.3435582822085887
3500,400,1.3460698689956332
3500,500,1.3354867453775898
3500,600,1.3341725795376518
3500,700,1.3424364758964615
3500,800,1.3524185587364264
3500,900,1.334592145015106
3500,1000,1.3151001540832048
3500,1100,1.3459651035986917
3500,1200,1.3462084635046865
3500,1300,1.334313437224346
3500,1400,1.3632357570034623
3500,1500,1.3620404107320303
3500,1600,1.3453162806774974
3500,1700,1.3767406849830637
3500,1800,1.3628036638789327
3500,1900,1.3648068669527895
3500,2000,1.361188486536676
3500,2100,1.3619725470259278
3500,2200,1.3585434173669468
3500,2300,1.353932584269663
3500,2400,1.336827393431167
3500,2500,1.363188167625308
3500,2600,1.3587270973963357
3500,2700,1.3555194805194803
3500,2800,1.3562157484857225
3500,2900,1.347495361781076
3500,3000,1.3645699614890885
3500,3100,1.345982142857143
3500,3200,1.3420572124163117
3500,3300,1.3631996156617825
3500,3400,1.3498647430117223
4000,100,1.308582449373192
4000,200,1.3261758691206544
4000,300,1.3294180459156433
4000,400,1.348314606741573
4000,500,1.3510204081632653
4000,600,1.353901996370236
4000,700,1.3626649905719672
4000,800,1.3565891472868217
4000,900,1.360776439089692
4000,1000,1.3417634996582364
4000,1100,1.3586256263421617
4000,1200,1.3492999263080323
4000,1300,1.3724727838258166
4000,1400,1.3796747967479674
4000,1500,1.360601001669449
4000,1600,1.363874345549738
4000,1700,1.361060329067642
4000,1800,1.3970443349753694
4000,1900,1.3898375245782884
4000,2000,1.3847329911543085
4000,2100,1.3726393367111929
4000,2200,1.377008652657602
4000,2300,1.3749170537491704
4000,2400,1.3818129246783288
4000,2500,1.3687089715536105
4000,2600,1.351351351351351
4000,2700,1.3609681722889269
4000,2800,1.3596228032576083
4000,2900,1.3685763462011309
4000,3000,1.3658675799086757
4000,3100,1.364403917595407
4000,3200,1.3605553287055945
4000,3300,1.3531504065040652
4000,3400,1.3722334004024146
4000,3500,1.3616438356164382
4000,3600,1.3552278820375336
4000,3700,1.3469565217391304
4000,3800,1.3541666666666663
4000,3900,1.3609172482552343
4500,100,1.3019624393331926
4500,200,1.3253977337758955
4500,300,1.3339007782101169
4500,400,1.3442243375353742
4500,500,1.3445027587134974
4500,600,1.3466572836030963
4500,700,1.3496626576708712
4500,800,1.354971742782954
4500,900,1.3599682287529786
4500,1000,1.3609876543209878
4500,1100,1.3627668659265586
4500,1200,1.3650849858356942
4500,1300,1.36726070181885
4500,1400,1.3948339483394834
4500,1500,1.3789536502884423
4500,1600,1.379859387923904
4500,1700,1.3633659158521036
4500,1800,1.3637770897832815
4500,1900,1.3620848708487086
4500,2000,1.403831798954964
4500,2100,1.3880134332213898
4500,2200,1.3793569305593083
4500,2300,1.3764940239043826
4500,2400,1.3739837398373984
4500,2500,1.3667941363926068
4500,2600,1.378480577518047
4500,2700,1.378138847858198
4500,2800,1.371076678585618
4500,2900,1.3719723183391004
4500,3000,1.3544303797468351
4500,3100,1.3528497409326423
4500,3200,1.359138533178114
4500,3300,1.3585526315789471
4500,3400,1.3528969149736645
4500,3500,1.355321020228672
4500,3600,1.3566785489620463
4500,3700,1.357425616140978
4500,3800,1.3660426081342802
4500,3900,1.359044225529239
4500,4000,1.3503002573634544
4500,4100,1.3541052631578945
4500,4200,1.3487109905020354
4500,4300,1.355264829162962
4500,4400,1.346229878565377
5000,100,1.2833704678954831
5000,200,1.2939353696325808
5000,300,1.318511358144031
5000,400,1.3283233998445192
5000,500,1.3336088154269974
5000,600,1.3397379912663756
5000,700,1.3459889773423146
5000,800,1.3504657886283329
5000,900,1.348479786167725
5000,1000,1.3509933774834435
5000,1100,1.3471670876939732
5000,1200,1.3488372093023258
5000,1300,1.3688976377952755
5000,1400,1.367862969004894
5000,1500,1.378033205619413
5000,1600,1.3640331732867743
5000,1700,1.3877644894204233
5000,1800,1.3584112149532712
5000,1900,1.361691784151677
5000,2000,1.3518796992481203
5000,2100,1.360672975814932
5000,2200,1.3823038397328882
5000,2300,1.3694524495677234
5000,2400,1.370102471368294
5000,2500,1.3629489603024574
5000,2600,1.370666666666667
5000,2700,1.367719298245614
5000,2800,1.377994011976048
5000,2900,1.370546318289786
5000,3000,1.3804255319148937
5000,3100,1.375796178343949
5000,3200,1.3758586849852796
5000,3300,1.3603793466807164
5000,3400,1.3611239060340856
5000,3500,1.3615618661257605
5000,3600,1.3611541168191414
5000,3700,1.360006313131313
5000,3800,1.35863921217547
5000,3900,1.3543809132044426
5000,4000,1.3573493975903614
5000,4100,1.3593435070544198
5000,4200,1.3628662195552417
5000,4300,1.3519823788546257
5000,4400,1.356401384083045
5000,4500,1.3503937007874016
5000,4600,1.3643771827706634
5000,4700,1.3659447348767737
5000,4800,1.362186014935506
5000,4900,1.3547466095645968
5500,100,1.2798441374424372
5500,200,1.2948364209696492
5500,300,1.3074588031222898
5500,400,1.3230696352439602
5500,500,1.3324834268230494
5500,600,1.337506804572673
5500,700,1.3464886825304705
5500,800,1.3521472392638036
5500,900,1.3576972833117724
5500,1000,1.3611676849966057
5500,1100,1.3614457831325304
5500,1200,1.3523809523809522
5500,1300,1.3606431852986218
5500,1400,1.3709032773780974
5500,1500,1.370954356846473
5500,1600,1.3723129836629409
5500,1700,1.3804834377797672
5500,1800,1.3805555555555555
5500,1900,1.3727359389895135
5500,2000,1.3583984375
5500,2100,1.367251223491028
5500,2200,1.361344537815126
5500,2300,1.3780918727915197
5500,2400,1.3924637681159422
5500,2500,1.375610919060675
5500,2600,1.3791386606920586
5500,2700,1.3772066458982348
5500,2800,1.3732394366197185
5500,2900,1.3791381278538812
5500,3000,1.3793879387938792
5500,3100,1.374212846347607
5500,3200,1.380880629499414
5500,3300,1.3811300639658848
5500,3400,1.3809433604849402
5500,3500,1.3743693239152373
5500,3600,1.3655589123867071
5500,3700,1.3594149059670304
5500,3800,1.373915262889229
5500,3900,1.3674832962138084
5500,4000,1.366851168511685
5500,4100,1.3669976035604243
5500,4200,1.365703275529865
5500,4300,1.3669885864793678
5500,4400,1.3665822784810129
5500,4500,1.3674197384066586
5500,4600,1.3609341825902337
5500,4700,1.372703412073491
5500,4800,1.368975738280821
5500,4900,1.3644552473548754
5500,5000,1.3676153091265946
5500,5100,1.359771754636234
5500,5200,1.3808647654093835
5500,5300,1.373061224489796
5500,5400,1.395403852652923
6000,100,1.272101033295063
6000,200,1.2926988265971318
6000,300,1.3078602620087336
6000,400,1.3183279742765277
6000,500,1.3251533742331287
6000,600,1.339676498572788
6000,700,1.3410157046706097
6000,800,1.351675947155803
6000,900,1.361944638287974
6000,1000,1.369626801330213
6000,1100,1.3753246753246753
6000,1200,1.3745751189666895
6000,1300,1.3745738636363636
6000,1400,1.3742810794868012
6000,1500,1.3763424363301628
6000,1600,1.3788869398819965
6000,1700,1.379384513567174
6000,1800,1.3830444482581088
6000,1900,1.400287459575997
6000,2000,1.400781104705226
6000,2100,1.3986564299424185
6000,2200,1.3890529631817286
6000,2300,1.380740441027716
6000,2400,1.3877551020408163
6000,2500,1.3989910067997369
6000,2600,1.395823876532002
6000,2700,1.3949658903787343
6000,2800,1.3909975669099757
6000,2900,1.3995422177009154
6000,3000,1.3998410174880762
6000,3100,1.3949255377826806
6000,3200,1.4063316874818472
6000,3300,1.4018804974218988
6000,3400,1.4022328548644336
6000,3500,1.394192256341789
6000,3600,1.399858457183298
6000,3700,1.40315908236179
6000,3800,1.3964968152866244
6000,3900,1.3851664559629162
6000,4000,1.3821138211382111
6000,4100,1.381508515815085
6000,4200,1.3848597141344627
6000,4300,1.3821325648414984
6000,4400,1.382520582647245
6000,4500,1.3826208829712685
6000,4600,1.378610460577674
6000,4700,1.3842756183745584
6000,4800,1.3843204520230048
6000,4900,1.3813184253435824
6000,5000,1.383708173340647
6000,5100,1.387751733245295
6000,5200,1.3771612384398872
6000,5300,1.385754403880521
6000,5400,1.3770764119601329
6000,5500,1.3930875576036867
6000,5600,1.3784860557768923
6000,5700,1.3813086081550945
6000,5800,1.3955672426746808
6000,5900,1.4027673896783843
6500,100,1.2648361381753763
6500,200,1.288274449564772
6500,300,1.2996054769087957
6500,400,1.3181522446324008
6500,500,1.329101139806666
6500,600,1.3403614457831323
6500,700,1.3495682210708118
6500,800,1.3618691588785048
6500,900,1.368822820409803
6500,1000,1.375107296137339
6500,1100,1.3853714285714285
6500,1200,1.3853387991319026
6500,1300,1.3916581892166835
6500,1400,1.3946104589114194
6500,1500,1.3959899749373434
6500,1600,1.3994762874599942
6500,1700,1.3924812030075189
6500,1800,1.3979336255479022
6500,1900,1.4113799869195551
6500,2000,1.4105512343591478
6500,2100,1.405019170442663
6500,2200,1.4177261169633126
6500,2300,1.4138961524094136
6500,2400,1.4196048043394034
6500,2500,1.4154030327214684
6500,2600,1.4166666666666667
6500,2700,1.4113655640373195
6500,2800,1.4214474845542806
6500,2900,1.430606617647059
6500,3000,1.4206798866855523
6500,3100,1.422963689892051
6500,3200,1.423763386027537
6500,3300,1.4192185850052796
6500,3400,1.4361111111111111
6500,3500,1.4274193548387095
6500,3600,1.427710843373494
6500,3700,1.4320050600885517
6500,3800,1.4283819628647216
6500,3900,1.423905489923558
6500,4000,1.4230205278592374
6500,4100,1.425019425019425
6500,4200,1.4284532671629446
6500,4300,1.4143356643356644
6500,4400,1.4134705332086062
6500,4500,1.4130434782608696
6500,4600,1.4138118542686242
6500,4700,1.41438032166509
6500,4800,1.4128748707342296
6500,4900,1.4123843416370103
