WR,N,LO_CrossSection,NLO_CrossSection
1000,100,3.612,4.343
1000,200,3.509,4.135
1000,300,3.206,3.806
1000,400,2.804,3.358
1000,500,2.324,2.805
1000,600,1.808,2.162
1000,700,1.214,1.465
1000,800,0.659,0.7903
1000,900,0.213,0.2554
1500,100,0.6409,0.7748
1500,200,0.625,0.7548
1500,300,0.6021,0.7265
1500,400,0.5676,0.6889
1500,500,0.5167,0.642
1500,600,0.4815,0.5872
1500,700,0.4301,0.5235
1500,800,0.3624,0.4527
1500,900,0.3062,0.3759
1500,1000,0.2377,0.2949
1500,1100,0.172,0.2135
1500,1200,0.1099,0.1363
1500,1300,0.05598,0.07002
1500,1400,0.01841,0.02286
2000,100,0.1549,0.1927
2000,200,0.1511,0.1888
2000,300,0.1497,0.1843
2000,400,0.1448,0.1782
2000,500,0.1386,0.1711
2000,600,0.1286,0.1629
2000,700,0.1195,0.1537
2000,800,0.1139,0.1432
2000,900,0.1046,0.1316
2000,1000,0.09359,0.1188
2000,1100,0.08239,0.1053
2000,1200,0.07109,0.09106
2000,1300,0.05984,0.07625
2000,1400,0.04801,0.06133
2000,1500,0.03647,0.04662
2000,1600,0.02562,0.03271
2000,1700,0.01585,0.02035
2000,1800,0.008066,0.01029
2000,1900,0.002704,0.003504
2500,100,0.04534,0.05689
2500,200,0.04326,0.05565
2500,300,0.04349,0.05442
2500,400,0.04228,0.05306
2500,500,0.0408,0.05152
2500,600,0.03928,0.04988
2500,700,0.03772,0.04797
2500,800,0.03545,0.04582
2500,900,0.03423,0.04349
2500,1000,0.03157,0.04094
2500,1100,0.02952,0.03827
2500,1200,0.02688,0.03538
2500,1300,0.02461,0.03236
2500,1400,0.0224,0.02915
2500,1500,0.01974,0.02586
2500,1600,0.01716,0.02249
2500,1700,0.01463,0.01906
2500,1800,0.01204,0.01566
2500,1900,0.009569,0.01236
2500,2000,0.007088,0.009227
2500,2100,0.004899,0.00637
2500,2200,0.00298,0.003909
2500,2300,0.001495,0.00198
2500,2400,0.0005387,0.0007055
3000,100,0.01484,0.01869
3000,200,0.01381,0.01828
3000,300,0.0136,0.01782
3000,400,0.01326,0.01736
3000,500,0.01286,0.01688
3000,600,0.01245,0.01642
3000,700,0.01236,0.01591
3000,800,0.01185,0.01537
3000,900,0.01137,0.01481
