WR,Group,Avg_Ratio
1000,N100,1.2023809523809523
1000,WR/2,1.2069707401032703
1000,WR-100,1.1990610328638498
1000,,1.194152442978847
1500,N100,1.208924949290061
1500,WR-100,1.2417164584464964
1500,,1.2297433833207025
2000,N100,1.2440284054228534
2000,WR/2,1.2693663852975745
2000,WR-100,1.2958579881656809
2000,,1.2649625738952797
2500,N100,1.2547419497132777
2500,WR-100,1.309634304807871
2500,,1.2927156952182521
3000,N100,1.2594339622641508
3000,WR/2,1.3391392149438344
3000,WR-100,1.326984126984127
3000,,1.322336379213902
3500,N100,1.3255677368833203
3500,WR-100,1.3498647430117223
3500,,1.3500607092018362
4000,N100,1.308582449373192
4000,WR/2,1.3847329911543085
4000,WR-100,1.3609172482552343
4000,,1.36147018954465
4500,N100,1.3019624393331926
4500,WR-100,1.346229878565377
4500,,1.3625515389701324
5000,N100,1.2833704678954831
5000,WR/2,1.3629489603024574
5000,WR-100,1.3547466095645968
5000,,1.358570694695598
5500,N100,1.2798441374424372
5500,WR-100,1.395403852652923
5500,,1.3646803059055976
6000,N100,1.272101033295063
6000,WR/2,1.3998410174880762
6000,WR-100,1.4027673896783843
6000,,1.3791145226609083
6500,N100,1.2648361381753763
6500,WR-100,1.4497444633730834
6500,,1.403443808472434
