WR_mass,N_mass,on_shell_count,off_shell_count,offshell_below99_count
1500,500,14474,2787,69
1500,1200,14512,2406,18
1500,700,14597,2730,39
1500,1100,14517,2606,22
1500,600,14540,2729,41
1500,800,14576,2714,27
3000,2900,15725,1535,15
3000,2000,16121,1972,20
3000,2300,16078,1821,12
3000,2400,16143,1746,21
3000,2600,16044,1603,21
3000,1400,16040,2056,35
1500,900,14572,2790,25
3000,1500,16065,1981,24
3000,1000,15781,2083,170
3000,2500,16035,1749,17
3000,2100,16055,1939,22
3000,1300,16023,1999,60
3000,2200,16057,1896,23
1500,400,14331,2861,124
3000,2700,15913,1685,19
3000,1200,15814,2090,73
3000,1600,16084,1980,24
3000,1900,16021,2053,25
1500,300,14343,2827,156
1500,1400,14208,2131,20
3000,2800,16016,1519,13
1500,1300,14449,2247,22
3000,900,15722,2150,205
3500,200,13849,3056,1604
2000,1700,15100,2061,28
3000,1700,16107,1949,31
1000,600,13756,3174,28
3000,1800,16159,1953,22
3000,1100,15791,2112,105
2000,1900,14768,1900,20
2000,1000,15030,2516,30
2000,400,14875,2609,212
2000,800,14978,2443,70
1500,1000,14553,2725,36
2500,900,15384,2273,109
2500,1500,15582,2191,25
2500,1700,15647,2182,30
2500,1200,15585,2261,35
2500,500,15033,2477,324
2500,600,15161,2416,232
2500,1400,15612,2209,32
2500,1300,15594,2260,36
2500,1000,15530,2278,65
2500,1900,15609,2081,30
2500,700,15426,2306,191
3500,400,14530,2773,1119
2500,1100,15637,2167,40
2500,1800,15616,2118,24
2500,1600,15637,2161,24
3000,800,15688,2196,237
2500,2400,15300,1681,20
2500,2100,15509,1919,28
2500,800,15428,2354,133
2500,2200,15516,1866,21
3000,700,15454,2273,333
3000,600,15282,2376,464
2500,2300,15471,1754,20
2000,1300,15083,2386,27
3000,500,15089,2453,561
3000,200,14524,2780,972
3000,400,15023,2482,696
1000,200,13669,3101,154
2500,2000,15585,1945,22
2000,500,14986,2496,174
3500,500,14898,2562,967
1000,900,13477,2438,24
2000,1200,15081,2512,28
2500,200,14564,2747,655
2000,700,15072,2455,86
2000,1100,14952,2552,27
1000,800,13732,2746,30
2000,1400,15025,2405,28
2500,400,15036,2484,402
2000,1800,14998,1868,21
1000,400,13820,3104,65
1000,700,13774,3022,28
1000,500,13810,3077,30
2000,1600,15191,2097,26
1000,300,13668,3171,82
1500,200,14270,2859,229
2000,900,15105,2491,42
2000,600,14979,2547,110
2000,200,14502,2763,403
3500,300,14190,2991,1359
2000,1500,15099,2329,41
3500,700,15293,2396,675
2500,300,14859,2544,486
2000,300,14668,2651,311
3500,1100,16063,2003,242
3500,1200,16145,1916,203
3500,600,15214,2412,770
3500,900,15820,2091,413
3500,800,15641,2190,548
3500,1000,15929,2026,312
3500,1800,16477,1791,28
3500,1500,16327,1855,70
3500,1900,16402,1808,21
3500,1400,16335,1878,111
3500,2300,16396,1822,20
3500,1600,16292,1891,61
3500,1700,16398,1851,40
3500,2000,16399,1814,35
3500,2200,16417,1839,25
3500,2100,16390,1811,22
3500,2500,16434,1716,18
3500,2700,16557,1580,16
3500,1300,16240,1866,138
3500,2600,16472,1721,25
