WR_mass,N_mass,on_shell_count,off_shell_count,offshell_below99_count
1000,200,13669,3230,149
1000,300,13668,3161,93
1000,400,13820,3076,61
1000,500,13810,3113,46
1000,600,13756,3067,26
1000,700,13774,2960,31
1000,800,13732,2648,18
1000,900,13477,2430,21
1500,200,14270,2871,233
1500,300,14343,2830,199
1500,400,14331,2808,101
1500,500,14474,2739,80
1500,600,14540,2731,46
1500,700,14597,2673,37
1500,800,14576,2710,45
1500,900,14572,2637,20
1500,1000,14553,2611,25
1500,1100,14517,2532,30
1500,1200,14512,2404,21
1500,1300,14449,2236,23
1500,1400,14208,2017,16
2000,200,14502,2735,406
2000,300,14668,2681,261
2000,400,14875,2516,214
2000,500,14986,2518,151
2000,600,14979,2474,124
2000,700,15072,2473,103
2000,800,14978,2579,72
2000,900,15105,2404,39
2000,1000,15030,2454,32
2000,1100,14952,2496,30
2000,1200,15081,2407,18
2000,1300,15083,2477,29
2000,1400,15025,2384,23
2000,1500,15099,2207,20
2000,1600,15191,2094,18
2000,1700,15100,1990,16
2000,1800,14998,1974,25
2000,1900,14768,1870,17
2500,200,14564,2689,623
2500,300,14859,2597,514
2500,400,15036,2480,434
2500,500,15033,2490,305
2500,600,15161,2423,246
2500,700,15426,2268,166
2500,800,15428,2218,126
2500,900,15384,2343,105
2500,1000,15530,2192,68
2500,1100,15637,2196,61
2500,1200,15585,2154,31
2500,1300,15594,2146,36
2500,1400,15612,2179,29
2500,1500,15582,2223,22
2500,1600,15637,2173,20
2500,1700,15647,2074,14
2500,1800,15616,2048,34
2500,1900,15609,1942,18
2500,2000,15585,1959,24
2500,2100,15509,1827,27
2500,2200,15516,1742,14
2500,2300,15471,1664,9
2500,2400,15300,1610,17
3000,200,14524,2696,1003
3000,300,14638,2613,824
3000,400,15023,2495,687
3000,500,15089,2458,541
3000,600,15282,2342,444
3000,700,15454,2273,355
3000,800,15688,2116,276
3000,900,15722,2128,205
3000,1000,15781,2136,161
3000,1100,15791,2097,132
3000,1200,15814,2096,80
3000,1300,16023,1978,63
3000,1400,16040,1904,42
3000,1500,16065,1954,20
3000,1600,16084,1936,22
3000,1700,16107,1944,27
3000,1800,16159,1884,14
3000,1900,16021,1897,22
3000,2000,16121,1845,14
3000,2100,16055,1868,12
3000,2200,16057,1803,26
3000,2300,16078,1734,22
3000,2400,16143,1662,13
3000,2500,16035,1612,15
3000,2600,16044,1595,16
3000,2700,15913,1541,15
3000,2800,16016,1455,18
3000,2900,15725,1473,17
3500,200,13849,3095,1634
3500,300,14190,2819,1325
3500,400,14530,2697,1123
3500,500,14898,2540,939
3500,600,15214,2374,792
3500,700,15293,2311,653
3500,800,15641,2169,536
3500,900,15820,2089,406
3500,1000,15929,2045,307
3500,1100,16063,1934,223
3500,1200,16145,1939,194
3500,1300,16240,1894,166
3500,1400,16335,1787,86
3500,1500,16327,1818,74
3500,1600,16292,1817,55
3500,1700,16398,1751,44
3500,1800,16477,1732,26
3500,1900,16402,1790,21
3500,2000,16399,1787,22
3500,2100,16390,1796,18
3500,2200,16417,1716,27
3500,2300,16396,1739,27
3500,2400,16556,1666,23
3500,2500,16434,1683,19
3500,2600,16472,1560,16
3500,2700,16557,1530,18
3500,2800,16509,1521,11
3500,2900,16531,1413,14
3500,3000,16431,1466,9
3500,3100,16406,1429,14
3500,3200,16488,1331,17
3500,3300,16378,1304,8
3500,3400,16294,1275,9
4000,200,12744,3637,2442
4000,300,13335,3355,2075
4000,400,13943,3009,1755
4000,500,14325,2829,1522
4000,600,14709,2687,1332
4000,700,15027,2519,1079
4000,800,15344,2372,926
4000,900,15671,2153,702
4000,1000,15907,2029,595
4000,1100,16028,2012,518
4000,1200,16345,1828,384
4000,1300,16394,1863,342
4000,1400,16547,1671,233
4000,1500,16661,1679,179
4000,1600,16625,1673,126
4000,1700,16726,1596,94
4000,1800,16841,1592,88
4000,1900,16869,1523,52
4000,2000,16823,1568,36
4000,2100,17000,1457,24
4000,2200,16925,1485,11
4000,2300,16959,1568,17
4000,2400,17019,1469,23
4000,2500,17049,1452,22
4000,2600,16994,1463,15
4000,2700,16987,1462,26
4000,2800,16918,1481,19
4000,2900,16962,1381,17
4000,3000,16889,1424,19
4000,3100,17005,1338,12
4000,3200,16986,1316,9
4000,3300,17037,1235,12
4000,3400,17116,1196,15
4000,3500,17044,1188,13
4000,3600,16985,1210,20
4000,3700,17021,1132,14
4000,3800,16996,1067,16
4000,3900,16807,1062,9
4500,200,11419,4332,3470
4500,300,12360,3927,3021
4500,400,12798,3594,2650
4500,500,13507,3264,2283
4500,600,13859,3081,1994
4500,700,14508,2793,1724
4500,800,14815,2598,1452
4500,900,15282,2360,1244
4500,1000,15645,2118,1023
4500,1100,15837,2088,886
4500,1200,16258,1877,681
4500,1300,16303,1824,578
4500,1400,16701,1651,473
4500,1500,16839,1583,391
4500,1600,16949,1558,321
4500,1700,17023,1521,222
4500,1800,17126,1473,158
4500,1900,17257,1403,119
4500,2000,17393,1295,92
4500,2100,17354,1327,56
4500,2200,17369,1305,41
4500,2300,17460,1289,32
4500,2400,17417,1317,25
4500,2500,17518,1233,21
4500,2600,17440,1258,14
4500,2700,17531,1184,21
4500,2800,17623,1170,14
4500,2900,17559,1163,17
4500,3000,17523,1187,13
4500,3100,17626,1123,12
4500,3200,17583,1125,18
4500,3300,17576,1087,13
4500,3400,17552,1059,11
4500,3500,17483,1102,14
4500,3600,17592,1011,15
4500,3700,17559,1011,16
4500,3800,17615,985,5
4500,3900,17648,951,11
4500,4000,17565,974,9
4500,4100,17587,920,6
4500,4200,17626,879,11
4500,4300,17559,847,11
4500,4400,17365,863,6
5000,200,9980,5042,4440
5000,300,10936,4676,3996
5000,400,11715,4231,3467
5000,500,12415,3801,3084
5000,600,12990,3465,2676
5000,700,13546,3213,2392
5000,800,14133,2908,2082
5000,900,14607,2695,1815
5000,1000,15102,2449,1550
5000,1100,15631,2124,1296
5000,1200,15899,2040,1101
5000,1300,16194,1932,946
5000,1400,16447,1810,801
5000,1500,16823,1636,669
5000,1600,16968,1511,526
5000,1700,17171,1427,435
5000,1800,17233,1390,330
5000,1900,17452,1287,258
5000,2000,17565,1264,210
5000,2100,17588,1209,143
5000,2200,17833,1084,81
5000,2300,17825,1073,64
5000,2400,17832,1098,38
5000,2500,17856,1026,42
5000,2600,17940,1029,27
5000,2700,17858,1082,29
5000,2800,17950,1037,19
5000,2900,18027,919,16
5000,3000,18047,941,17
5000,3100,18066,912,15
5000,3200,18088,911,19
5000,3300,18022,931,25
5000,3400,18086,905,15
5000,3500,18031,895,14
5000,3600,18071,888,17
5000,3700,18091,852,14
5000,3800,18135,786,9
5000,3900,18072,838,8
5000,4000,18122,799,13
5000,4100,18079,833,8
5000,4200,18029,838,7
5000,4300,18040,819,7
5000,4400,18246,762,6
5000,4500,18119,743,13
5000,4600,18128,723,5
5000,4700,18105,715,9
5000,4800,18062,700,9
5000,4900,17874,763,2
5500,200,8656,5755,5341
5500,300,9633,5277,4783
5500,400,10352,4888,4358
5500,500,11320,4510,3947
5500,600,11809,4098,3516
5500,700,12542,3713,3089
5500,800,13079,3483,2784
5500,900,13678,3195,2465
5500,1000,14288,2845,2129
5500,1100,15057,2419,1785
5500,1200,15410,2269,1519
5500,1300,15547,2273,1414
5500,1400,16147,1973,1164
5500,1500,16508,1741,940
5500,1600,16815,1600,818
5500,1700,16987,1483,659
5500,1800,17212,1408,569
5500,1900,17414,1294,447
5500,2000,17605,1210,359
5500,2100,17726,1148,280
5500,2200,17894,1038,220
5500,2300,17912,1072,167
5500,2400,18023,970,126
5500,2500,18099,971,82
5500,2600,18178,930,62
5500,2700,18274,853,44
5500,2800,18169,921,35
5500,2900,18240,895,20
5500,3000,18299,800,17
5500,3100,18279,824,19
5500,3200,18378,772,11
5500,3300,18408,776,12
5500,3400,18434,761,17
5500,3500,18461,729,15
5500,3600,18369,760,17
5500,3700,18477,730,11
5500,3800,18411,737,12
5500,3900,18419,739,17
5500,4000,18404,743,8
5500,4100,18461,694,11
5500,4200,18405,717,7
5500,4300,18455,656,9
5500,4400,18377,706,11
5500,4500,18500,652,5
5500,4600,18472,655,4
5500,4700,18399,630,8
5500,4800,18469,637,9
5500,4900,18410,674,3
5500,5000,18436,630,5
5500,5100,18418,610,6
5500,5200,18431,592,1
5500,5300,18340,613,6
5500,5400,18181,583,4
6000,200,7185,6396,6115
6000,300,8193,6140,5781
6000,400,9030,5668,5240
6000,500,9758,5179,4791
6000,600,10575,4746,4276
6000,700,11274,4390,3886
6000,800,11994,4005,3541
6000,900,12670,3658,3117
6000,1000,13530,3323,2776
6000,1100,13925,3104,2463
6000,1200,14586,2712,2136
6000,1300,15082,2520,1899
6000,1400,15391,2327,1635
6000,1500,15861,2104,1410
6000,1600,16126,1968,1230
6000,1700,16533,1741,998
6000,1800,16862,1577,843
6000,1900,17116,1386,659
6000,2000,17371,1308,573
6000,2100,17564,1191,452
6000,2200,17737,1114,396
6000,2300,17902,1067,293
6000,2400,18004,1005,233
6000,2500,18109,919,177
6000,2600,18176,908,133
6000,2700,18284,848,96
6000,2800,18388,814,64
6000,2900,18435,787,49
6000,3000,18423,794,46
6000,3100,18411,780,35
6000,3200,18532,732,29
6000,3300,18459,754,15
6000,3400,18528,691,23
6000,3500,18588,647,16
6000,3600,18617,680,8
6000,3700,18621,676,15
6000,3800,18639,665,11
6000,3900,18594,661,13
6000,4000,18527,703,8
6000,4100,18656,602,7
6000,4200,18575,675,10
6000,4300,18576,647,6
6000,4400,18606,642,10
6000,4500,18586,626,10
6000,4600,18616,591,7
6000,4700,18651,573,2
6000,4800,18640,604,6
6000,4900,18639,581,2
6000,5000,18579,599,6
6000,5100,18580,596,4
6000,5200,18667,553,7
6000,5300,18645,546,10
6000,5400,18624,562,9
6000,5500,18642,527,7
6000,5600,18719,507,5
6000,5700,18644,525,5
6000,5800,18518,526,6
6000,5900,18470,522,2
6500,200,5747,7167,6947
6500,300,6695,6795,6543
6500,400,7359,6483,6206
6500,500,8346,5952,5637
6500,600,9078,5715,5361
6500,700,9814,5247,4823
6500,800,10777,4704,4338
6500,900,11254,4321,3932
6500,1000,12055,4020,3582
6500,1100,12760,3616,3170
6500,1200,13439,3317,2834
6500,1300,13927,3088,2547
6500,1400,14396,2832,2231
6500,1500,15024,2484,1902
6500,1600,15463,2247,1683
6500,1700,15974,2048,1441
6500,1800,16221,1915,1229
6500,1900,16563,1688,1047
6500,2000,16959,1541,871
6500,2100,17181,1395,737
6500,2200,17484,1255,574
6500,2300,17642,1172,510
6500,2400,17795,1097,404
6500,2500,17890,1075,355
6500,2600,18077,980,260
6500,2700,18223,894,199
6500,2800,18234,872,136
6500,2900,18379,791,124
6500,3000,18420,804,88
6500,3100,18528,735,51
6500,3200,18558,729,53
6500,3300,18625,688,35
6500,3400,18635,687,28
6500,3500,18610,699,17
6500,3600,18654,662,19
6500,3700,18718,594,12
6500,3800,18727,621,16
6500,3900,18668,654,11
6500,4000,18707,662,12
6500,4100,18713,643,11
6500,4200,18710,638,12
6500,4300,18736,598,4
6500,4400,18703,614,8
6500,4500,18704,613,8
6500,4600,18701,632,10
6500,4700,18762,570,6
6500,4800,18812,552,9
6500,4900,18761,548,5
6500,5000,18697,582,9
6500,5100,18698,574,4
6500,5200,18715,549,5
6500,5300,18718,557,12
6500,5400,18737,542,5
6500,5500,18681,519,5
6500,5600,18770,474,0
6500,5700,18755,546,10
6500,5800,18694,544,8
6500,5900,18699,502,4
6500,6000,18758,481,7
6500,6100,18679,496,3
6500,6200,18763,467,7
6500,6300,18716,442,2
6500,6400,18618,480,5
