WR_mass,N_mass,total_count,offshell_count
1500,500,20000,60
1500,1200,20000,0
1500,700,20000,0
1500,1100,20000,0
1500,600,20000,11
1500,800,20000,0
3000,2900,20000,0
3000,2000,20000,0
3000,2300,20000,0
3000,2400,20000,0
3000,2600,20000,0
3000,1400,20000,5
1500,900,20000,0
3000,1500,20000,0
3000,1000,20000,159
3000,2500,20000,0
3000,2100,20000,0
3000,1300,20000,15
3000,2200,20000,0
1500,400,20000,127
3000,2700,20000,0
3000,1200,20000,33
3000,1600,20000,0
3000,1900,20000,0
1500,300,20000,203
1500,1400,20000,0
3000,2800,20000,0
1500,1300,20000,0
3000,900,20000,257
3500,200,20000,3001
2000,1700,20000,0
3000,1700,20000,0
1000,600,20000,0
3000,1800,20000,0
3000,1100,20000,86
2000,1900,20000,0
2000,1000,20000,0
2000,400,20000,302
2000,800,20000,23
1500,1000,20000,0
2500,900,20000,71
2500,1500,20000,0
2500,1700,20000,0
2500,1200,20000,0
2500,500,20000,453
2500,600,20000,323
2500,1400,20000,0
2500,1300,20000,0
2500,1000,20000,35
2500,1900,20000,0
2500,700,20000,191
3500,400,20000,2004
2500,1100,20000,8
2500,1800,20000,0
2500,1600,20000,0
3000,800,20000,334
2500,2400,20000,0
2500,2100,20000,0
2500,800,20000,117
2500,2200,20000,0
3000,700,20000,496
3000,600,20000,726
2500,2300,20000,0
2000,1300,20000,0
3000,500,20000,930
3000,200,20000,1795
3000,400,20000,1184
1000,200,20000,160
2500,2000,20000,0
2000,500,20000,204
3500,500,20000,1639
1000,900,20000,0
2000,1200,20000,0
2500,200,20000,1119
2000,700,20000,55
2000,1100,20000,0
1000,800,20000,0
2000,1400,20000,0
2500,400,20000,654
2000,1800,20000,0
1000,400,20000,12
1000,700,20000,0
1000,500,20000,0
2000,1600,20000,0
1000,300,20000,53
1500,200,20000,349
2000,900,20000,1
2000,600,20000,120
2000,200,20000,667
3500,300,20000,2442
2000,1500,20000,0
3500,700,20000,1072
2500,300,20000,844
2000,300,20000,464
3500,1100,20000,289
3500,1200,20000,197
3500,600,20000,1319
3500,900,20000,587
3500,800,20000,851
3500,1000,20000,419
3500,1800,20000,0
3500,1500,20000,26
3500,1900,20000,0
3500,1400,20000,62
3500,2300,20000,0
3500,1600,20000,4
3500,1700,20000,0
3500,2000,20000,0
3500,2200,20000,0
3500,2100,20000,0
3500,2500,20000,0
3500,2700,20000,0
3500,1300,20000,118
3500,2600,20000,0
3500,2400,20000,0
3500,2900,20000,0
3500,2800,20000,0
3500,3000,20000,0
3500,3400,20000,0
3500,3100,20000,0
4000,200,20000,4630
3500,3300,20000,0
3500,3200,20000,0
4000,700,20000,1845
4000,1300,20000,361
4000,1200,20000,467
4000,400,20000,3229
4000,2000,20000,0
4000,600,20000,2285
4000,1100,20000,728
4000,500,20000,2786
4000,1400,20000,252
4000,1600,20000,81
4000,300,20000,3899
4000,1800,20000,17
4000,2200,20000,0
4000,2100,20000,0
4000,1700,20000,39
4000,1000,20000,905
4000,800,20000,1540
4000,2400,20000,0
4000,2300,20000,0
4000,2700,20000,0
4000,2900,20000,0
4000,1900,20000,2
4000,2800,20000,0
4000,2500,20000,0
4000,2600,20000,0
4000,3200,20000,0
4500,200,20000,6592
4000,3300,20000,0
4000,1500,20000,144
4000,3000,20000,0
4000,3100,20000,0
4000,3900,20000,0
4000,3500,20000,0
4000,3800,20000,0
4000,3600,20000,0
4000,3400,20000,0
4000,3700,20000,0
4500,1000,20000,1714
4500,1400,20000,600
4500,1300,20000,820
4500,600,20000,3593
4500,2300,20000,0
4500,500,20000,4170
4500,2200,20000,0
4500,700,20000,2990
4500,1200,20000,1001
4500,1500,20000,425
4500,2000,20000,23
4500,800,20000,2538
4500,3000,20000,0
4500,400,20000,4993
4500,900,20000,2091
4500,1100,20000,1401
4500,2100,20000,6
4500,1700,20000,187
4500,2600,20000,0
4500,2900,20000,0
4500,1900,20000,46
4500,2800,20000,0
4500,3100,20000,0
4500,2500,20000,0
4500,2700,20000,0
4500,3400,20000,0
4000,900,20000,1166
4500,2400,20000,0
5000,200,20000,8563
4500,4000,20000,0
4500,3200,20000,0
4500,3500,20000,0
