WR,N,CrossSection
1000,200,0.001679
1000,300,0.2569
1000,400,0.6624
1000,500,0.8447
1000,700,0.6418
1000,800,0.3871
1000,900,0.1317
1500,200,0.0002887
1500,300,0.04625
1500,400,0.1273
1500,500,0.1837
1500,600,0.2069
1500,700,0.2082
1500,800,0.1977
1500,900,0.1746
1500,1000,0.1443
1500,1100,0.1105
1500,1200,0.07136
1500,1300,0.03758
1500,1400,0.01264
2000,200,7.133e-05
2000,300,0.01158
2000,400,0.03184
2000,500,0.04679
2000,600,0.05523
2000,700,0.05965
2000,800,0.05921
2000,900,0.05803
2000,1000,0.0547
2000,1100,0.05019
2000,1200,0.04473
2000,1300,0.03836
2000,1400,0.03172
2000,1500,0.0245
2000,1600,0.01753
2000,1700,0.01093
2000,1800,0.005592
2000,1900,0.001926
2500,200,2.076e-05
2500,300,0.003265
2500,400,0.009125
2500,500,0.01361
2500,600,0.0164
2500,700,0.01777
2500,800,0.01863
2500,900,0.01842
2500,1000,0.01797
2500,1100,0.01748
2500,1200,0.01669
2500,1300,0.01555
2500,1400,0.01408
2500,1500,0.01281
2500,1600,0.01128
2500,1700,0.009666
2500,1800,0.008061
2500,1900,0.006448
2500,2000,0.004848
2500,2100,0.003361
2500,2200,0.002079
2500,2300,0.001063
2500,2400,0.0003794
3000,200,6.627e-06
3000,300,0.001056
3000,400,0.002951
3000,500,0.004446
3000,600,0.005259
3000,700,0.005801
3000,800,0.005938
3000,900,0.006058
3000,1000,0.006163
3000,1100,0.005955
3000,1200,0.005774
3000,1300,0.005607
3000,1400,0.00535
3000,1500,0.005033
3000,1600,0.004703
3000,1700,0.004351
3000,1800,0.003956
3000,1900,0.003601
3000,2000,0.003162
3000,2100,0.002731
3000,2200,0.002306
3000,2300,0.001885
3000,2400,0.001473
3000,2500,0.001106
3000,2600,0.0007571
3000,2700,0.0004638
3000,2800,0.0002366
3000,2900,8.868e-05
3500,200,2.376e-06
3500,300,0.0003753
3500,400,0.00104
3500,500,0.00154
3500,600,0.001839
3500,700,0.002002
3500,800,0.00211
3500,900,0.002157
3500,1000,0.002164
3500,1100,0.00212
3500,1200,0.00208
3500,1300,0.002047
3500,1400,0.001984
3500,1500,0.001908
3500,1600,0.001822
3500,1700,0.001721
3500,1800,0.001615
3500,1900,0.001528
3500,2000,0.001413
3500,2100,0.001313
3500,2200,0.001197
3500,2300,0.001085
3500,2400,0.0009645
3500,2500,0.0008338
3500,2600,0.0007299
3500,2700,0.0006043
3500,2800,0.0004796
3500,2900,0.0003749
3500,3000,0.000275
3500,3100,0.0001858
3500,3200,0.0001146
3500,3300,5.882e-05
3500,3400,2.371e-05
4000,200,9.477e-07
4000,300,0.0001464
4000,400,0.0004081
4000,500,0.0005916
4000,600,0.0007077
4000,700,0.0007727
4000,800,0.0007995
4000,900,0.0008183
4000,1100,0.0008097
4000,1200,0.0008035
4000,1300,0.0007821
4000,1400,0.0007643
4000,1500,0.0007414
4000,1600,0.0007228
4000,1700,0.0006942
4000,1800,0.0006608
4000,1900,0.0006382
4000,2000,0.0005991
4000,2100,0.0005713
4000,2200,0.0005372
4000,2300,0.0005009
4000,2400,0.0004681
4000,2500,0.0004274
4000,2600,0.0003877
4000,2700,0.0003544
4000,2800,0.0003188
4000,2900,0.0002787
4000,3000,0.000243
4000,3100,0.0002096
4000,3200,0.0001714
4000,3300,0.000137
4000,3400,0.0001052
4000,3500,7.74e-05
4000,3600,5.278e-05
4000,3700,3.231e-05
4000,3800,1.705e-05
4000,3900,7.099e-06
4500,200,4.263e-07
4500,300,6.589e-05
4500,400,0.0001806
4500,500,0.0002593
4500,600,0.0003063
4500,700,0.0003269
4500,800,0.0003395
4500,900,0.0003385
4500,1200,0.0003351
4500,1300,0.0003331
4500,1400,0.0003249
4500,1500,0.0003147
4500,1600,0.0003066
4500,1700,0.0002969
4500,1800,0.000288
4500,1900,0.0002784
4500,2000,0.000268
4500,2100,0.0002554
