WR,N,CrossSection
1000,200,0.001059
1000,300,0.1634
1000,400,0.4157
1000,500,0.5381
1000,700,0.4058
1000,800,0.2411
1000,900,0.08485
1500,200,0.0001868
1500,300,0.02955
1500,400,0.08024
1500,500,0.118
1500,600,0.13
1500,700,0.1329
1500,800,0.1252
1500,900,0.1108
1500,1000,0.09101
1500,1100,0.06857
1500,1200,0.04652
1500,1300,0.02393
1500,1400,0.00799
2000,200,4.491e-05
2000,300,0.007185
2000,400,0.02001
2000,500,0.02895
2000,600,0.03468
2000,700,0.03717
2000,800,0.0375
2000,900,0.03683
2000,1000,0.0343
2000,1100,0.03152
2000,1200,0.0281
2000,1300,0.02441
2000,1400,0.01975
2000,1500,0.01547
2000,1600,0.01089
2000,1700,0.006952
2000,1800,0.003537
2000,1900,0.001221
2500,200,1.292e-05
2500,300,0.002071
2500,400,0.005839
2500,500,0.008653
2500,600,0.01035
2500,700,0.01127
2500,800,0.01164
2500,900,0.0116
2500,1000,0.0114
2500,1100,0.01095
2500,1200,0.01042
2500,1300,0.009703
2500,1400,0.009025
2500,1500,0.008107
2500,1600,0.007119
2500,1700,0.006141
2500,1800,0.005111
2500,1900,0.00408
2500,2000,0.003086
2500,2100,0.002123
2500,2200,0.001352
2500,2300,0.0006696
2500,2400,0.0002418
3000,200,4.201e-06
3000,300,0.0006762
3000,400,0.001882
3000,500,0.002799
3000,600,0.003359
3000,700,0.003648
3000,800,0.003811
3000,900,0.003885
3000,1000,0.003847
3000,1100,0.003793
3000,1200,0.003673
3000,1300,0.003533
3000,1400,0.003352
3000,1500,0.00317
3000,1600,0.002967
3000,1700,0.002741
3000,1800,0.002522
3000,1900,0.002267
3000,2000,0.001997
3000,2100,0.00173
3000,2200,0.001462
3000,2300,0.001183
3000,2400,0.000931
3000,2500,0.0006941
3000,2600,0.0004796
3000,2700,0.0002935
3000,2800,0.0001499
3000,2900,5.592e-05
3500,200,1.495e-06
3500,300,0.0002374
3500,400,0.000659
3500,500,0.0009854
3500,600,0.001172
3500,700,0.001275
