WR,N,CrossSection
1000,200,0.001073
1000,300,0.1625
1000,400,0.4254
1000,500,0.544
1000,700,0.4103
1000,800,0.2435
1000,900,0.08488
1500,200,0.0001864
1500,300,0.02935
1500,400,0.08078
1500,500,0.1158
1500,600,0.1319
1500,700,0.1346
1500,800,0.1258
1500,900,0.1107
1500,1000,0.09051
1500,1100,0.06952
1500,1200,0.04554
1500,1300,0.02419
1500,1400,0.00797
2000,200,4.55e-05
2000,300,0.007224
2000,400,0.02025
2000,500,0.02994
2000,600,0.03502
2000,700,0.03705
2000,800,0.03767
2000,900,0.03681
2000,1000,0.0346
2000,1100,0.03169
2000,1200,0.02823
2000,1300,0.02437
2000,1400,0.01993
2000,1500,0.01559
2000,1600,0.01105
2000,1700,0.006945
2000,1800,0.003557
2000,1900,0.001228
2500,200,1.31e-05
2500,300,0.002079
2500,400,0.005931
2500,500,0.008653
2500,600,0.01034
2500,700,0.01138
2500,800,0.01174
2500,900,0.01163
2500,1000,0.01161
2500,1100,0.01111
2500,1200,0.01036
2500,1300,0.009816
2500,1400,0.009096
2500,1500,0.008147
2500,1600,0.007246
2500,1700,0.00617
2500,1800,0.005112
2500,1900,0.004114
2500,2000,0.003082
2500,2100,0.002163
2500,2200,0.001336
2500,2300,0.0006767
2500,2400,0.0002422
3000,200,4.203e-06
3000,300,0.0006699
3000,400,0.001898
3000,500,0.002811
3000,600,0.003372
3000,700,0.003673
3000,800,0.003861
3000,900,0.003902
3000,1000,0.003913
3000,1100,0.003823
3000,1200,0.003728
3000,1300,0.003595
3000,1400,0.003406
3000,1500,0.003218
3000,1600,0.003002
3000,1700,0.002787
3000,1800,0.00254
3000,1900,0.00228
3000,2000,0.00202
3000,2100,0.001743
3000,2200,0.001473
3000,2300,0.0012
3000,2400,0.0009403
3000,2500,0.0007082
3000,2600,0.0004829
3000,2700,0.0002968
3000,2800,0.0001514
3000,2900,5.694e-05
3500,200,1.515e-06
3500,300,0.0002384
3500,400,0.000664
3500,500,0.000988
3500,600,0.001165
3500,700,0.001289
3500,800,0.001348
3500,900,0.00137
3500,1000,0.001372
3500,1100,0.001358
3500,1200,0.00134
3500,1300,0.001293
3500,1400,0.001269
3500,1500,0.001217
3500,1600,0.001166
3500,1700,0.001107
3500,1800,0.00104
3500,1900,0.0009757
3500,2000,0.0009114
3500,2100,0.0008393
3500,2200,0.0007669
3500,2300,0.0006855
3500,2400,0.0006131
3500,2500,0.0005346
3500,2600,0.0004581
3500,2700,0.0003781
3500,2800,0.000309
3500,2900,0.0002412
3500,3000,0.0001771
3500,3100,0.0001203
3500,3200,7.362e-05
3500,3300,3.8e-05
3500,3400,1.509e-05
4000,200,6.042e-07
4000,300,9.346e-05
4000,400,0.0002596
4000,500,0.0003787
4000,600,0.0004522
4000,700,0.0004959
4000,800,0.0005209
4000,900,0.0005276
4000,1000,0.0005245
4000,1100,0.0005195
4000,1200,0.0005141
4000,1300,0.000503
4000,1400,0.0004893
4000,1500,0.0004774
4000,1600,0.0004596
4000,1700,0.0004419
4000,1800,0.000426
4000,1900,0.0004054
4000,2000,0.0003836
4000,2100,0.000363
4000,2200,0.0003432
4000,2300,0.0003216
4000,2400,0.0003008
4000,2500,0.0002747
4000,2600,0.0002509
4000,2700,0.0002275
4000,2800,0.0002026
4000,2900,0.0001776
4000,3000,0.0001543
4000,3100,0.0001318
4000,3200,0.0001082
4000,3300,8.783e-05
4000,3400,6.732e-05
4000,3500,4.951e-05
4000,3600,3.361e-05
4000,3700,2.09e-05
4000,3800,1.091e-05
4000,3900,4.515e-06
4500,200,2.759e-07
4500,300,4.212e-05
4500,400,0.000115
4500,500,0.000166
4500,600,0.0001938
4500,700,0.0002113
4500,800,0.0002172
4500,900,0.000224
4500,1000,0.0002206
4500,1100,0.0002182
4500,1200,0.000216
4500,1300,0.0002039
4500,1400,0.0002057
4500,1500,0.0002016
4500,1600,0.0001901
4500,1700,0.0001895
4500,1800,0.0001842
4500,1900,0.0001769
4500,2000,0.0001702
4500,2100,0.0001634
4500,2200,0.0001562
4500,2300,0.0001477
4500,2400,0.0001405
4500,2500,0.0001326
4500,2600,0.0001254
4500,2700,0.0001169
4500,2800,0.0001086
4500,2900,9.955e-05
4500,3000,9.301e-05
4500,3100,8.324e-05
4500,3200,7.513e-05
4500,3300,6.635e-05
4500,3400,5.847e-05
4500,3500,5.031e-05
4500,3600,4.186e-05
4500,3700,3.492e-05
4500,3800,2.781e-05
4500,3900,2.147e-05
4500,4000,1.571e-05
4500,4100,1.07e-05
4500,4200,6.649e-06
4500,4300,3.592e-06
4500,4400,1.598e-06
5000,200,1.416e-07
5000,300,2.127e-05
5000,400,5.657e-05
5000,500,8.158e-05
5000,600,9.345e-05
5000,700,0.0001021
5000,800,0.0001047
5000,900,0.0001055
5000,1000,0.0001063
5000,1100,0.0001031
5000,1200,0.0001005
5000,1300,9.958e-05
5000,1400,9.658e-05
5000,1500,9.348e-05
5000,1600,9.201e-05
5000,1700,8.979e-05
5000,1800,8.678e-05
5000,1900,8.507e-05
5000,2000,8.128e-05
5000,2100,7.791e-05
5000,2200,7.543e-05
5000,2300,7.276e-05
5000,2400,7.004e-05
5000,2500,6.69e-05
5000,2600,6.401e-05
5000,2700,6.043e-05
5000,2800,5.766e-05
5000,2900,5.424e-05
5000,3000,5.101e-05
5000,3100,4.773e-05
5000,3200,4.438e-05
5000,3300,4.126e-05
5000,3400,3.795e-05
5000,3500,3.445e-05
5000,3600,3.119e-05
5000,3700,2.79e-05
5000,3800,2.459e-05
5000,3900,2.18e-05
5000,4000,1.846e-05
5000,4100,1.555e-05
5000,4200,1.282e-05
5000,4300,1.023e-05
5000,4400,7.815e-06
5000,4500,5.73e-06
5000,4600,3.905e-06
5000,4700,2.442e-06
5000,4800,1.339e-06
5000,4900,6.385e-07
5500,200,8.049e-08
5500,300,1.198e-05
5500,400,3.148e-05
5500,500,4.447e-05
5500,600,5.115e-05
5500,700,5.423e-05
5500,800,5.478e-05
5500,900,5.562e-05
5500,1000,5.433e-05
5500,1100,5.315e-05
5500,1200,5.219e-05
5500,1300,5.073e-05
5500,1400,4.777e-05
5500,1500,4.823e-05
5500,1600,4.65e-05
5500,1700,4.584e-05
5500,1800,4.442e-05
5500,1900,4.294e-05
5500,2000,4.164e-05
5500,2100,4.037e-05
5500,2200,3.939e-05
5500,2300,3.808e-05
5500,2400,3.638e-05
5500,2500,3.529e-05
5500,2600,3.393e-05
5500,2700,3.271e-05
5500,2800,3.122e-05
5500,2900,2.994e-05
5500,3000,2.852e-05
5500,3100,2.733e-05
5500,3200,2.571e-05
5500,3300,2.445e-05
5500,3400,2.308e-05
5500,3500,2.152e-05
5500,3600,2.011e-05
5500,3800,1.737e-05
5500,3900,1.573e-05
5500,4000,1.452e-05
5500,4100,1.299e-05
5500,4200,1.156e-05
5500,4300,1.015e-05
5500,4400,8.864e-06
5500,4500,7.548e-06
5500,4600,6.358e-06
5500,4700,5.161e-06
5500,4800,4.128e-06
5500,4900,3.178e-06
5500,5000,2.313e-06
5500,5100,1.588e-06
5500,5200,9.942e-07
5500,5300,5.661e-07
5500,5400,2.718e-07
6000,200,4.904e-08
6000,300,7.188e-06
6000,400,1.864e-05
6000,500,2.606e-05
6000,600,2.956e-05
6000,700,3.099e-05
6000,800,3.084e-05
6000,900,3.064e-05
6000,1000,2.996e-05
6000,1100,2.928e-05
6000,1200,2.841e-05
