WR,N,CrossSection
1000,200,0.001425
1000,300,0.2351
1000,400,0.6089
1000,500,0.7842
1000,700,0.5782
1000,800,0.35
1000,900,0.1208
1500,200,0.0002446
1500,300,0.04228
1500,400,0.1165
1500,500,0.165
1500,600,0.1866
1500,700,0.1905
1500,800,0.1809
1500,900,0.1585
1500,1000,0.1303
1500,1100,0.09977
1500,1200,0.06467
1500,1300,0.0341
1500,1400,0.01142
2000,200,5.943e-05
2000,300,0.01022
2000,400,0.02897
2000,500,0.0418
2000,600,0.04975
2000,700,0.05281
2000,800,0.05329
2000,900,0.05239
2000,1000,0.04952
2000,1100,0.04571
2000,1200,0.04013
2000,1300,0.03466
2000,1400,0.02877
2000,1500,0.02213
2000,1600,0.01607
2000,1700,0.01
2000,1800,0.00511
2000,1900,0.001757
2500,200,1.701e-05
2500,300,0.002965
2500,400,0.008384
2500,500,0.01251
2500,600,0.0148
2500,700,0.01613
2500,800,0.01663
2500,900,0.01673
2500,1000,0.01655
2500,1100,0.01577
2500,1200,0.01499
2500,1300,0.01404
2500,1400,0.01285
2500,1500,0.01161
2500,1600,0.01023
2500,1700,0.00889
2500,1800,0.007345
2500,1900,0.005801
2500,2000,0.004452
2500,2100,0.003076
2500,2200,0.001905
2500,2300,0.0009673
2500,2400,0.00035
3000,200,5.556e-06
3000,300,0.0009576
3000,400,0.002697
3000,500,0.004026
3000,600,0.00481
3000,700,0.005248
3000,800,0.005502
3000,900,0.005502
3000,1000,0.005593
3000,1100,0.005439
3000,1200,0.005293
3000,1300,0.005121
3000,1400,0.004836
3000,1500,0.004562
3000,1600,0.004241
3000,1700,0.00392
3000,1800,0.003592
3000,1900,0.00323
3000,2000,0.002898
3000,2100,0.002459
3000,2200,0.002093
3000,2300,0.00171
3000,2400,0.001353
3000,2500,0.0009962
3000,2600,0.000676
3000,2700,0.0004217
3000,2800,0.0002194
3000,2900,8.155e-05
3500,200,1.986e-06
3500,300,0.0003407
3500,500,0.001395
